Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.248404	0.224573	0.882570	0.896461	
0.001000	0.220744	0.219761	0.900713	0.904101	
0.001000	0.217963	0.203711	0.904960	0.907207	
0.001000	0.201786	0.203440	0.907526	0.909599	
0.001000	0.243468	0.201498	0.909293	0.908893	
0.001000	0.180706	0.199514	0.910653	0.909788	
0.001000	0.206350	0.187988	0.911643	0.912998	
0.001000	0.220367	0.194116	0.912492	0.913145	
0.001000	0.200883	0.193697	0.913246	0.912876	
0.001000	0.176078	0.183960	0.913767	0.914655	
0.000100	0.251781	0.179693	0.916549	0.917051	
0.000100	0.221927	0.187195	0.917092	0.917048	
0.000100	0.224308	0.185424	0.917275	0.917199	
0.000100	0.235512	0.175382	0.917505	0.916939	
0.000100	0.202369	0.179756	0.917695	0.917220	
0.000100	0.264763	0.182304	0.917747	0.917467	
0.000100	0.262756	0.183287	0.917943	0.916969	
0.000100	0.190737	0.184666	0.917990	0.917172	
0.000100	0.235075	0.178961	0.918009	0.917300	
0.000100	0.204405	0.176379	0.918034	0.917384	
