Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.222669	0.219753	0.876460	0.900274	
0.001000	0.240143	0.219631	0.901881	0.905771	
0.001000	0.231638	0.206537	0.906209	0.909489	
0.001000	0.196291	0.200085	0.908440	0.910627	
0.001000	0.176325	0.184510	0.909804	0.911359	
0.001000	0.240590	0.191697	0.910902	0.912472	
0.001000	0.198396	0.184977	0.911700	0.913129	
0.001000	0.177880	0.194555	0.912350	0.911722	
0.001000	0.240947	0.181008	0.912907	0.912937	
0.001000	0.198768	0.183448	0.913303	0.914781	
0.000100	0.259547	0.176711	0.917827	0.917792	
0.000100	0.192957	0.169785	0.918717	0.918238	
0.000100	0.205928	0.172574	0.919068	0.918300	
0.000100	0.212049	0.173981	0.919365	0.918474	
0.000100	0.188249	0.171024	0.919673	0.919035	
0.000100	0.240430	0.163459	0.919933	0.918680	
0.000100	0.216888	0.174742	0.920255	0.918572	
0.000100	0.179277	0.161859	0.920390	0.918782	
0.000100	0.227009	0.167073	0.920554	0.918462	
0.000100	0.226619	0.172542	0.920789	0.918487	
0.000010	0.213214	0.170840	0.921519	0.919203	
0.000010	0.222382	0.168650	0.921600	0.919419	
0.000010	0.211796	0.171878	0.921697	0.919084	
0.000010	0.197675	0.173680	0.921806	0.919220	
0.000010	0.231073	0.168335	0.921859	0.919176	
0.000010	0.217007	0.169759	0.921960	0.919166	
0.000010	0.195246	0.171785	0.921932	0.919028
0.000010	0.2176	0.1710	0.92193	0.9190
0.000010	0.2174	0.1726	0.92198	0.9191
0.000010	0.2599	0.1693	0.92198	0.9187

best: 0.9194 22nd
