Epochs	Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000000	0.001000	0.237279	0.250891	0.882594	0.893215	
1.000000	0.001000	0.211862	0.225314	0.900601	0.901884	
2.000000	0.001000	0.223358	0.202064	0.905249	0.907325	
3.000000	0.001000	0.214111	0.199269	0.907565	0.910697	
4.000000	0.001000	0.248559	0.201099	0.909436	0.910166	
5.000000	0.001000	0.207592	0.203581	0.910633	0.912741	
6.000000	0.001000	0.209412	0.191146	0.911877	0.911507	
7.000000	0.001000	0.210977	0.184944	0.912549	0.913233	
8.000000	0.001000	0.186169	0.181374	0.913405	0.912898	
9.000000	0.001000	0.189940	0.176675	0.914024	0.913777	
10.000000	0.000100	0.182273	0.178918	0.916830	0.917260	
11.000000	0.000100	0.192884	0.177192	0.917357	0.917656	
12.000000	0.000100	0.198333	0.177682	0.917441	0.917217	
13.000000	0.000100	0.177219	0.174536	0.917661	0.917198	
14.000000	0.000100	0.175213	0.176964	0.917847	0.917703	
15.000000	0.000100	0.239651	0.189753	0.917917	0.917418	
16.000000	0.000100	0.183033	0.182182	0.917956	0.917428	
17.000000	0.000100	0.175066	0.179446	0.918158	0.917525	
18.000000	0.000100	0.194670	0.171409	0.918268	0.917942	
19.000000	0.000100	0.194983	0.175984	0.918415	0.917897	
