Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.269083	0.240750	0.875643	0.895091	
0.001000	0.229777	0.216241	0.900156	0.904964	
0.001000	0.266745	0.191997	0.904095	0.909452	
0.001000	0.240924	0.196548	0.907570	0.908057	
0.001000	0.253148	0.185477	0.908867	0.910887	
0.001000	0.283684	0.181491	0.908432	0.911377	
0.001000	0.234388	0.193611	0.910396	0.911334	
0.001000	0.247234	0.187841	0.911146	0.913319	
0.001000	0.249551	0.181135	0.911623	0.913417	
0.001000	0.259375	0.183082	0.912054	0.913163	
0.000100	0.222636	0.173602	0.916485	0.917481	
0.000100	0.218396	0.173622	0.917406	0.917859	
0.000100	0.221237	0.172177	0.917886	0.917849	
0.000100	0.226339	0.173920	0.918272	0.918051	
0.000100	0.231270	0.176674	0.918514	0.918295	
0.000100	0.215741	0.175275	0.918608	0.917990	
0.000100	0.220199	0.173058	0.918851	0.918350	
0.000100	0.199978	0.172894	0.919133	0.918410	
0.000100	0.211321	0.168342	0.919370	0.918589	
0.000100	0.225618	0.171694	0.919455	0.917985	
0.000010	0.233667	0.176292	0.920191	0.918650	
0.000010	0.186078	0.173152	0.920313	0.918607	
0.000010	0.196099	0.172407	0.920305	0.918574	
0.000010	0.224823	0.170423	0.920336	0.918545	
0.000010	0.186582	0.169723	0.920370	0.918878	
0.000010	0.200321	0.170718	0.920433	0.918677	
0.000010	0.216729	0.172327	0.920537	0.918752	
0.000010	0.221749	0.175418	0.920571	0.918893
0.000010	0.212119	0.173916	0.920500	0.918517	
0.000010	0.217187	0.174514	0.920695	0.918718	


best acc: 0.9189 28th
